Rank,Company_Name,Year,Industry,Env_Sector,Financial_Sector,Country,Legal_Origin,GDP_Per_Capita,LN_GDP_Per_Capita,GDP,LN_GDP,Environmental_Performance_Index,Social_Progress_Index,Governance_Index,Sustainable_Competitiveness_Index,Institutions,Security,Security_1_Organized_Crime,Security_2_Homicide_Rate,Secuirt_3_Terrorism_Incidence,Security_4_Reliability_Policy_Services,Social_Capital,Checks_Balances,Check_Balance_1_Budget_Transparency,Check_Balance_2_Judicial_Independence,Check_Balance_3_Efficiency_Legal_Framework,Check_Balance_4_Freedom_Press,Public_Sector_Performance,Public_Sector_Performance_1_Burden_Government_Regulation,Public_Sector_Performance_2_Efficiency_Legal_Framework,Public_Sector_Performance_3_EParticipation,Transparency_Corruption,Property_Rights,Property_Rights_1_Property_Rigths,Property_Rights_2_Intellectual_Property_Protection,Property_Rights_3_Quality_Land_Administration,Corporate_Governance,CG_1_Strength_Auditing_Accounting_Standards,CG_2_Conflict_Interest_Regulation,CG_3_Shareholder_Governance,Future_Orientation_Government,FOG_1_Government_Ensuring_Policy_Stability,FOG_2_Government_Responsiveness_Change,FOG_3_Adaptability_Digital_Business_Models,FOG_4_Government_Long_Term_Vision,FOG_5_Energy_Efficiency_Regulation,FOG_6_Renewable_Energy_Regulation,FOG_7_Environment_Treaties,Number_of_Employees,LN_N_Employees,Revenues,Profits,Assets,LN_Assets,ROA,SR_1,GRI,IR,Environment_SP,Social_SP,Governance_SP,ESG
1,Walmart,2020,Retailing,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,2200000,14.6039679183285,523964,14881,236495,12.3736823450416,.0629231061967483,1,1,0,61,40,47,49
2,Sinopec Group,2020,Energy,High Risk,Non-Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,582648,13.2753385094031,407009,6793.2,317516,12.668283489746,.0213948273472833,1,1,0, , , , 
3,State Grid,2020,Energy,High Risk,Non-Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,907677,13.7186438674254,383906,7970,596616,13.2990289693421,.0133586762674819,0,0,0, , , , 
4,China National Petroleum,2020,Energy,High Risk,Non-Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,1344410,14.1114658130678,379130,4443.2,608086,13.318071598314,.00730686120055387,1,1,0, , , , 
5,Royal Dutch Shell,2020,Energy,High Risk,Non-Financial,Netherlands,Code Law (Stakeholder-Oriented),52397.1,10.8666065252662,808007.36,13.6023264463726,75.3,90.57,91.25,53.9,78.6,90.1,78.3,99,99.8,83.2,64.1,81.1,77.4,87.3,68.1,91.4,77.1,56.6,75.7,98.9,82,88.3,84.8,85,95,67.9,86.6,47,70,78.1,78.3,62.5,65.5,64.2,83.5,82.3,100,83000,11.3265958867787,352106,15842,404336,12.9100014944548,.0391802857029797,1,1,1,72,56,69,65
6,Saudi Aramco,2020,Energy,High Risk,Non-Financial,Saudi Arabia, ,20110.3,9.90898740060669,650714.6,13.3858264226065,44,63.73,40.69,42.3,63.2,88.7,81,97.3,89.1,87.4,53.9,42.6,1,77.1,58.4,34.1,67.2,61.3,68.8,71.4,49,61.9,78.9,71.7,35,78.5,75.5,73,87,63.8,71.6,79.4,65.3,87,58.8,31,65.5,79000,11.2772031314492,329784,88210.9,398349,12.8950837844501,.221441248754233,1,1,1,10,21,17,16
7,Volkswagen,2020,Motor Vehicles & Parts,High Risk,Non-Financial,Germany, ,46208.4,10.7409168787247,3434435.99,15.0493632751062,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,671205,13.4168298834518,282760,15542,547811,13.2136856159308,.0283710987913715,1,1,1,77,55,53,61
8,BP,2020,Energy,High Risk,Non-Financial,United Kingdom,Common-Law (Shareholder-Oriented),41059.2,10.6227702067007,2891615.58,14.8773259281142,81.3,88.25,83.53,54.6,74.4,79.4,61.7,97.6,88.3,69.8,64.4,70.1,74,69.5,59.1,77.8,74,55.6,68.1,98.3,80,78.5,74.9,75.5,85,74.5,73.4,83,67,74.5,60.1,58.4,64.8,51.4,84.2,90.6,96.6,72500,11.1913418408428,282616,4026,295194,12.5953880462986,.0136384885871664,1,0,0,55,48,46,49
9,Amazon.com,2020,Technology,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,798000,13.5898638764319,280522,11588,225248,12.3249572964079,.0514455178292371,1,1,0,33,21,24,25
10,Toyota Motor,2020,Motor Vehicles & Parts,High Risk,Non-Financial,Japan,Common-Law (Shareholder-Oriented),40193.3,10.60145559405,4380756.53,15.2927319911819,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,359542,12.7925862782483,275288,19096.2,487466,13.0969758233981,.0391744244726812,1,1,0,47,35,39,40
